Difficulty decreases from first(top)



Structure:
demonName;creator;difficulty;levelId

In Circles;Venuslxvi;Extreme Demon;14991
anticulture;Hydrog;Extreme Demon;Main Level
Sky Fortress;Venuslxvi;Extreme Demon;14528
Hydra;Hydrog;Insane Demon;13491
Lava River Rebirth;qayesy;Insane Demon;16389
Lightspeed;Artem157;Demon;Main Level
Ascension;Nightfall;Medium Demon;14033
T-Rex;YomayoCB;Demon;Main Level
Solar Flare;Crystalgdvn;Medium Demon;5047
Sakupen Circle;Crystalgdvn;Medium Demon;4614
Dashdynamix 2;Crazyguy1367;Easy Demon;11350
Haunted by Nightfall;Nightfall;Easy Demon;15206
67;qayesy;Demon;15820
FrOcaSid;Techsubject;Medium Demon;9251
Octagon Force;Partition343;Medium Demon;9024
Bloodbath;Bruhhh;Demon;12088
Dashdynamix;Crazyguy1367;Easy Demon;1208
Chaoz Impact;FreshLakeWater;Demon;Main Level
